lat,lon,date,hour,total_count,occupied_count,occupancy_rate
-37.820056364738484,144.9549493448011,2025-08-03,13,1,0,0.0
-37.82005535295752,144.94303831913783,2025-08-03,10,1,0,0.0
-37.82005184338577,144.9470437741028,2024-12-22,7,1,0,0.0
-37.820049911318065,144.94865802884766,2024-12-25,3,1,1,1.0
-37.82004729015223,144.94306604520847,2025-08-01,0,1,1,1.0
-37.82004168078604,144.94340446656793,2025-08-02,23,1,1,1.0
-37.820041408012244,144.9556639590486,2025-08-03,10,1,1,1.0
-37.820039230062264,144.94309376908998,2025-08-03,0,1,1,1.0
-37.82003698039656,144.95728231924483,2023-11-29,0,1,1,1.0
-37.8200352168038,144.95502406275878,2025-08-03,12,1,1,1.0
-37.82001997842416,144.94315996167091,2025-08-02,14,1,0,0.0
-37.820014035321634,144.95509897190527,2025-08-03,13,1,0,0.0
-37.82001191603977,144.94318768716136,2025-08-03,11,1,0,0.0
-37.82000385363874,144.94321541209086,2025-08-03,10,1,0,0.0
-37.82000268128995,144.951233779713,2025-06-17,10,1,1,1.0
-37.820000362979314,144.9472151454358,2024-12-13,8,1,0,0.0
-37.81999824238842,144.9575130747661,2025-08-03,8,1,1,1.0
-37.81999579034017,144.9432431375824,2025-08-03,6,1,1,1.0
-37.819994917407186,144.9556426084228,2025-08-03,9,1,1,1.0
-37.81999361630185,144.94865597937695,2024-12-25,1,1,1,1.0
-37.819987727054716,144.94327086306834,2025-08-03,11,1,0,0.0
-37.81998434057127,144.94530742172287,2025-08-03,0,1,0,0.0
-37.819984138073124,144.95129771110098,2025-06-17,12,1,0,0.0
-37.81997970328647,144.94329845570735,2025-08-03,11,1,0,0.0
-37.819973001636775,144.94539778682912,2025-08-03,11,1,0,0.0
-37.819968004313765,144.94700438468254,2024-12-24,23,1,0,0.0
-37.819965598657724,144.95136180335112,2025-06-17,13,1,0,0.0
-37.81996043711991,144.94336469751374,2025-08-03,7,1,1,1.0
-37.81995933586933,144.95529233775974,2025-08-03,13,1,0,0.0
-37.81995510493043,144.9549539854762,2023-10-11,0,1,0,0.0
-37.81995237378518,144.94339242408512,2025-08-03,11,1,1,1.0
-37.81994955721967,144.9430957375174,2025-08-02,13,1,0,0.0
-37.8199471493606,144.95142567113518,2025-06-17,12,1,0,0.0
-37.81994434579434,144.95748786635886,2025-08-03,9,1,1,1.0
-37.81994431226503,144.94342014841737,2025-08-03,10,1,0,0.0
-37.819941167057515,144.9553565516419,2025-08-03,12,1,0,0.0
-37.81993731499081,144.9486542687062,2024-12-25,5,1,1,1.0
-37.81993624888711,144.94344787331164,2025-08-03,11,1,1,1.0
-37.819930950522625,144.94315971851103,2025-08-02,13,1,0,0.0
-37.81993083805543,144.94718710333325,2024-12-25,0,1,1,1.0
-37.81992866300896,144.95148933280126,2025-06-17,12,1,0,0.0
-37.819928185081864,144.94347559820022,2025-08-03,9,1,0,0.0
-37.81992324264816,144.9554198964517,2025-08-03,13,1,1,1.0
-37.81992252758147,144.95722988902253,2025-01-29,0,1,1,1.0
-37.81992012215079,144.94350332366335,2025-08-03,3,1,0,0.0
-37.81991568953214,144.94538400803944,2025-05-13,0,1,1,1.0
-37.81991234423025,144.9432236994868,2025-08-03,9,1,1,1.0
-37.81991148294232,144.95154801432867,2025-06-17,12,1,0,0.0
-37.81989904504822,144.94697696185258,2024-12-25,1,1,1,1.0
