location,weekday,hour,Present,unoccupied_rate
"-37.805381355877714, 144.95523429232816",Sunday,3,0.0,1.0
"-37.80538386973119, 144.95012639522247",Sunday,10,0.0,1.0
"-37.80540365436209, 144.95523028404108",Monday,3,1.0,0.0
"-37.80540466872164, 144.9501229767851",Sunday,12,0.0,1.0
"-37.80541069713534, 144.9502629920902",Sunday,10,0.0,1.0
"-37.80541377418428, 144.95029019712229",Sunday,3,0.0,1.0
"-37.80541535820775, 144.95714608281074",Sunday,11,0.0,1.0
"-37.8054168503065, 144.9503174114983",Sunday,12,0.0,1.0
"-37.80541987748026, 144.95034460595906",Sunday,4,0.0,1.0
"-37.80542300884731, 144.95037180684574",Sunday,12,0.0,1.0
"-37.805425952395794, 144.9552262757514",Friday,2,1.0,0.0
"-37.80542611281458, 144.95039900717978",Sunday,11,0.0,1.0
"-37.8054266053832, 144.95011936846646",Sunday,9,0.0,1.0
"-37.80542921632523, 144.9504262110143",Sunday,10,0.0,1.0
"-37.8054322960094, 144.95045340597807",Sunday,4,0.0,1.0
"-37.805435429603435, 144.9504805769861",Sunday,12,0.0,1.0
